twitter_user_id,friend_degree_avg,friend_degree_max,friend_degree_min,friend_degree_var,follower_degree_avg,follower_degree_max,follower_degree_min,follower_degree_var
19058678,1769.322192,1224118,1,176322649.7,4537.609932,12787249,0,10418419653
264829864,6077.009009,1287387,1,2431543419,11831.68919,2037303,0,8612044396
26796376,2328.014265,1543828,1,781779379,6355.624187,8138419,0,13314304777
7148992,3909.546129,1287387,2,1752083122,6585.581549,2037303,0,6253193449
23105852,2504.791804,1287384,1,643799366.7,18355.63652,93657140,0,1.26E+12
2977816791,1415.695122,16490,34,3542579.919,2531.573171,89925,4,84807805.15
145247081,3003.423077,74684,8,52357530.92,8508.839744,390660,2,1530028654
381995113,4998.965909,1543828,5,3231679833,12045.5697,8138438,0,53866420018
18765853,4495.713934,1287384,1,2029707694,13406.89016,5966774,0,44995287972
3147590062,12904.88462,299623,115,3289357048,12981.88462,300041,14,3300380937
50370097,2149.74,22702,19,16804770.95,10668.02,369644,8,2690369300
2775015936,7278.941989,982893,8,3137486251,11193.91436,1683704,0,8598858006
1872769464,12738.80361,1426687,14,5280586294,17658.96183,2037287,0,11180341678
265280042,3349.225,299618,13,301632336.7,5148.622222,300041,0,651416847.2
34940114,1571.963355,3107136,1,450800061.8,2985.653527,4961805,0,2637006097
339547394,4822.24975,1287359,1,2181753560,8259.994006,2037284,0,5843630097
4075449898,1467.166667,2948,81,855082.8056,1247.388889,5574,1,2149709.127
1190521543,3695.62807,308991,8,434919790.2,6729.164912,505839,0,1528378143
358684753,6612.220624,1287357,3,4236657019,10384.07434,2037289,0,10518474553
1650144662,2599.149049,991880,3,336254591.3,7070.146578,4961918,0,8725783619
17963897,17415.44785,1287356,1,5692663206,31255.28511,4855434,0,29004654005
195761047,6646.885189,1287356,6,3591454217,11069.10907,2037291,0,11313634069
351600865,5750.040466,1287356,2,2494614834,9956.17284,2037291,0,7698367188
606306570,2938.8358,991934,1,544153528.2,6989.404934,4961932,0,7029020574
7.47807E+17,854.78716,1872150,0,48253351.04,1822.107146,37635874,0,11357740311
784431038,5842.614458,1286810,0,2482866526,11030.01721,2037064,0,7169122123
1356297770,4755.594554,1286810,0,2801644822,7449.30711,2037064,0,6845932476
24727170,2675.87384,3105900,0,1025962745,6729.291649,4967179,0,7190618075
435929343,4700.287023,1286809,5,2772885624,9628.20458,2037062,0,8430559276
568174146,3489.145423,1884642,0,913514872.7,9719.721711,4967200,0,12437813581
104692964,7394.396207,1286802,0,3085201230,11441.71138,2037055,0,6053651948
627486344,4419.310518,1286802,0,1978001304,7375.203673,2037054,0,4874225448
11906032,5831.757302,1884903,0,4621873888,9586.247223,4359146,0,14787110340
129569947,3050.775079,1046811,0,608230806.3,8433.977221,2330794,0,4701676511
2371641993,8020.43287,1286802,1,4360218477,13542.75694,2037055,0,12933205081
8.13333E+17,1671.6875,31085,6,17395201.79,1356.6375,32076,0,24287453.03
109245603,3736.73644,1286802,2,1439376994,7958.310924,2037055,0,7804796629
106115066,2780.514695,1512442,0,791401794.3,6658.104999,4967257,0,7167345559
558138267,5667.453619,1286800,0,2332678720,7719.512232,2037051,0,4456969594
18951643,2898.362196,938780,0,541639545,6983.887888,4857972,0,7931230741
99183766,2094.978022,73508,2,45383782.75,4728.554945,203046,0,581374920
1952492228,13795.48708,1836526,1,9977224475,18624.16605,2695228,0,18852142340
461451393,4034.030201,1286800,0,2052866693,5533.527685,2037048,0,4725235893
1652897768,5367.854127,1286799,0,1808667015,8261.463212,2037048,0,4033320150
453133872,3599.546334,1886788,0,1415974319,7363.880792,4359231,0,8156218862
2673148399,4239.309211,159775,1,298531918.7,5387.460526,241129,1,578667015.4
496060628,2964.442254,1286799,0,719507346.2,5717.166667,2037049,0,3247636356
220480870,7993.12116,1286799,7,4390276723,10764.74915,2037051,0,8804240917
457060718,1703.013004,1120878,0,213068202.4,3216.706984,4967384,0,2822376105
20736534,4545.094087,1286796,0,1431072023,7041.547415,2037044,0,3145207013
197804641,6439.600457,3105862,0,6970951716,11926.05765,4699320,0,18000788354
18678625,4625.466592,1286796,0,1948924959,62854.30545,93878764,0,4.95E+12
19087569,3430.317896,3105861,0,1597938145,7129.419181,4967507,0,8535614718
30234371,4682.842417,1286789,2,2229782329,7834.626777,2037037,1,5660742420
33921661,3229.656615,1286780,0,1140371312,6340.338462,2037040,0,3790083845
200519122,4585.012849,1457935,0,1965946358,8021.749863,2330957,0,5961819244
521713321,5637.141225,1286780,0,1623135880,8993.674132,2037036,0,4383932758
101712079,2753.259755,3105851,0,982315945.7,6318.16742,4967614,0,6060008937
21137004,6797.278261,294412,23,1457975370,11691.10435,440372,3,3390322070
113476721,3244.606273,1286765,0,887265247,4514.199759,2037026,0,1847130957
2494392186,4959.707106,1286765,1,2985687305,10892.13345,2037024,0,11441361316
2363670413,1743.630045,1891484,0,379097051.4,4330.40705,11836897,0,10049022075
568249574,4341.168677,1891477,0,1785600742,8590.9423,4359859,0,8310208790
503492894,943.8275862,5377,14,1134491.522,1022.551724,5748,1,2271458.592
181105871,1804.128205,36075,0,18871845.06,2219.871795,64825,0,72306277.09
181243457,2003.676606,45830,0,13374541.06,3082.733945,279740,0,229684181.8
927480949,2825.368243,1458016,0,529325572.7,5792.734167,4967952,0,5090026128
131970620,3118.759073,1120871,0,638156270.1,6431.081832,4967975,0,5519636258
1654791650,11297.15133,1398260,2,8186253100,16248.54479,2037017,0,16349796178
2198180998,1992.761468,128917,0,60218800.33,3346.284404,137028,0,168815508.2
8.58487E+17,2115.772727,36075,6,16841581.99,3214.390909,116436,0,149927162.9
151028274,5170.80633,1286746,0,2284732569,10628.62124,2037017,0,7075337124
494082207,3972.561497,1286746,1,1753360081,14985.03981,13651751,0,1.14792E+11
175005016,2941.681697,1047736,0,623648385.4,6608.722041,4968048,0,7119209605
100260784,2957.88722,3105775,0,1266639877,6521.78181,4968099,0,8151682914
17513747,9494.943966,1286740,3,3699924233,15387.36782,2037013,0,12541093693
172090468,4572.242566,1286740,0,1812120700,7170.579439,2037013,0,4324405191
580749365,3022.794298,1891503,0,713366052.8,7916.86855,4968164,0,9033106250
228360358,4558.745704,1286746,0,2453328945,6127.696735,2037013,0,4811663055
550076077,2773.758863,1891518,0,962772381.1,6360.420206,4968234,0,8337865920
84276399,1804.171963,68092,1,16552634.05,3310.014953,279773,0,232415961.7
301671009,6286.696221,1286740,0,3712595821,9729.015988,2037019,0,8309267507
373442908,2938.246003,1223855,0,822144760.8,6153.603451,2331227,0,3930663089
542025094,3861.474552,583496,0,542626049.2,4891.417204,916261,0,1097703020
932745390,10067.30859,1653900,30,5384297404,13684.60417,2999610,2,14166173344
20276412,6791.149435,1286740,0,2815310018,12564.94266,2202747,0,10260352158
128642272,1748.475,12923,1,5301708.549,9860.275,279781,0,1926892116
2890801661,2636.904168,1458307,0,1184186720,4374.267933,2331247,0,3449689863
105200096,4551.202431,1921133,0,1328574713,8975.307881,4045399,0,6257961442
187632184,3440.230305,1899418,0,1121240008,7947.812233,4968384,0,9629123055
1963428127,5266.610451,485916,3,769919239.9,10020.8076,1782949,1,8021850646
1350441445,3295.673948,1899578,0,1250672653,5888.107861,4360281,0,4974819703
522501686,3098.473165,1286716,0,655843944.5,5795.93713,3452104,0,4657268741
3088489516,5509.220194,1286716,0,2449582745,7428.695379,2036995,0,6058420069
199827483,4703.735318,1386932,0,2234990425,8481.973945,2324414,0,6838574861
124768144,1958.357143,54093,19,38665533.04,3199.071429,76661,0,116739081.1
3127533492,1954.853659,12500,11,6218637.198,3195.04878,36088,5,60690095.41
1351389578,4080.330347,1842895,0,1772133847,7169.582115,2695840,0,5727003388
459224564,4619.15869,1286716,0,1584905505,9777.714106,2036992,0,6740240381
962576641,11006.30435,1286716,18,11883962091,18714.26812,2036992,5,30313590528
312926964,7826.791176,1286716,2,5059765766,11658.72941,2036992,0,12550228132
3066126892,10764.77778,1286716,105,8473618330,16406.94444,2036992,11,21391031739
1633543440,2618.163248,808962,0,446672152.3,6900.910826,2200793,0,4363114490
19599760,3309.948864,101450,8,106034514.8,6889.551136,279813,0,738664540.2
